,Adview
245,1581.6508
246,1803.5433
247,1442.7694
248,1950.0875
249,1819.0841
250,1561.8235
251,1273.9058
252,1437.2719
253,2294.344
254,1973.119
255,1850.3221
256,908.361
257,1977.1144
258,2158.2385
259,2086.812
260,2441.098
261,1646.7836
262,1974.0831
263,2268.3857
264,1885.6506
265,1626.6006
266,1813.3218
267,1066.9601
268,1536.3156
269,1519.4312
270,2040.028
271,1604.5978
272,2274.636
273,2071.4055
274,1941.2103
275,2180.1453
276,1011.4472
277,1604.1315
278,1944.7725
279,2227.4148
280,2148.8203
281,1305.8749
282,1673.3617
283,1122.1193
284,1815.6547
285,1280.9146
286,1122.8356
287,2424.6511
288,1541.6349
289,2323.6038
290,1800.7115
291,1732.2549
292,1018.5341
293,2144.4202
294,1485.837
295,1720.9791
296,1370.3473
297,1920.7673
298,1645.7603
299,2444.3718
300,1297.7216
301,1063.8033
302,1189.0157
303,1290.1986
304,1426.9232
305,2177.5078
306,2470.932
307,2408.886
308,2046.7794
309,1557.1564
310,1150.9474
311,1985.5394
312,2226.0713
313,2170.4133
314,2267.5803
315,2301.593
316,1735.6377
317,2137.7048
318,1306.3538
319,1159.5038
320,2157.2678
321,2107.7021
322,1689.3698
323,1541.3917
324,2371.7068
325,2207.5461
326,1722.9164
327,1604.9042
328,1298.6005
329,2178.977
330,1163.8048
331,1594.0906
332,2050.438
333,1599.7013
334,1489.1478
335,1765.5126
336,2136.931
337,1661.8319
338,2158.8293
339,1170.6945
340,1603.2728
341,588.4071
342,2032.922
343,1558.4122
344,1500.3586
345,1653.7566
346,1190.6832
347,1700.836
348,2115.9407
349,1847.3716
350,2437.1458
351,1516.5988
352,1806.326
353,2162.7996
354,2082.1235
355,2013.8256
356,949.68097
357,1664.4633
358,1734.1985
359,2114.1184
360,2293.5974
361,2370.2488
362,1832.3989
363,2154.572
364,2275.4688
365,2257.171
366,1615.4645
367,1797.1664
368,1210.9984
369,1846.983
370,971.2173
371,2293.658
372,2146.303
373,1606.1416
374,2046.1932
375,1472.0707
376,2115.533
377,1218.8492
378,2215.1218
379,1667.3062
380,2518.1846
381,1658.3082
382,2053.2695
383,2217.486
384,1655.9347
385,1940.7494
386,2190.7888
387,1930.9297
388,2242.8528
389,1922.8917
390,1601.7349
391,2022.1002
392,2347.43
393,1793.3551
394,2287.8225
395,1071.0835
396,1404.6311
397,1585.3558
398,1230.0353
399,2136.098
400,2274.0828
401,1067.5704
402,1693.2775
403,1322.063
404,2044.7771
405,1649.189
406,1450.3907
407,1913.6239
408,2175.6128
409,1352.7352
410,1513.0026
411,2115.2776
412,2117.5046
413,2230.6763
414,1828.8837
415,2124.6306
416,1446.4379
417,2034.8041
418,1357.2732
419,1372.3641
420,2247.4016
421,1770.3485
422,1508.663
423,2132.8115
424,1099.175
425,1935.5826
426,1704.7864
427,1401.007
428,1767.3947
429,1518.3063
430,1857.9159
431,1626.8488
432,2363.258
433,1471.619
434,1918.3971
435,1069.3982
436,1611.4962
437,2166.7532
438,1750.3069
439,1897.2155
440,2414.895
441,2157.992
442,1202.1078
443,1947.6174
444,2103.776
445,2056.468
446,1883.8197
447,1663.4852
448,2198.3533
449,1480.4241
450,1786.2222
451,1762.494
452,1551.8207
453,2179.1887
454,1628.4667
455,1863.1532
456,2388.3845
457,1558.5057
458,1406.8116
459,2152.3074
460,1968.7297
461,1887.5106
462,1727.9694
463,2016.6127
464,1392.1417
465,1370.8207
466,1746.0348
467,1984.9963
468,2191.472
469,997.4484
470,1828.4564
471,2141.66
472,2230.3953
473,1624.3788
474,1461.7374
475,2002.878
476,2125.0386
477,881.3199
478,2163.2966
479,2005.5485
480,1662.0428
481,2386.395
482,2102.3918
483,2076.951
484,2281.5066
485,1546.3534
486,2399.6804
487,2125.339
488,1090.0338
489,2217.4233
490,1945.1095
491,1909.9889
492,2015.1913
493,2751.9092
494,2289.8433
495,1506.9092
496,1310.5436
497,2178.5425
498,2531.8992
499,2037.5723
500,1404.2847
501,2212.3254
502,1550.2477
503,1650.2684
504,1257.6373
505,1716.7904
506,2144.9854
507,2196.3787
508,2255.2434
509,1421.7587
510,1817.7396
511,2154.883
512,1389.5278
513,1623.7701
514,2106.0334
515,1955.5476
516,1637.0122
517,1697.9546
518,1290.6239
519,1311.985
520,2299.0095
521,1875.9115
522,1335.722
523,1205.6685
524,1985.9318
525,1250.1362
526,2255.0085
527,835.774
528,1604.7891
529,1979.9208
530,1856.6439
531,1927.205
532,1341.6698
533,1645.1858
534,1664.975
535,1501.7538
536,2229.861
537,1946.5602
538,2011.3973
539,1811.1393
540,1928.7628
541,1627.8981
542,1326.0226
543,1863.1412
544,2418.991
545,1802.5535
546,1706.3446
547,2320.1475
548,2195.5613
549,725.7526
550,1624.5182
551,1857.4095
552,2182.9688
553,1611.2328
554,1653.9718
555,2155.1057
556,1964.7455
557,1377.5385
558,1817.7078
559,2099.3997
560,2335.6145
561,1773.6073
562,1932.6476
563,2270.8997
564,1927.4122
565,2078.508
566,2232.8538
567,2044.0408
568,2113.8474
569,2167.4705
570,2274.731
571,2237.951
572,2442.4395
573,2001.1031
574,2465.665
575,1759.9407
576,1847.2493
577,2220.1294
578,2016.8861
579,2040.9935
580,1740.5555
581,1227.6189
582,1975.409
583,2049.9167
584,2067.375
585,1609.4921
586,1539.153
587,1401.9569
588,2059.5957
589,1749.5586
590,1641.0687
591,2254.0461
592,2187.065
593,1378.7845
594,2095.8599
595,1896.1844
596,417.13565
597,1588.1685
598,1034.8009
599,1141.5406
600,2178.0237
601,1045.0332
602,1235.7706
603,1727.2832
604,1672.8253
605,2191.9485
606,1571.5381
607,1596.9603
608,1993.4279
609,2530.1116
610,1156.6305
611,1832.173
612,1763.5767
613,2101.0981
614,1830.0997
615,1567.7363
616,1301.8287
617,1584.9099
618,2172.973
619,1985.7587
620,2007.2921
621,1639.442
622,1683.5724
623,1144.9572
624,2417.1052
625,2154.9758
626,1616.4176
627,1995.6263
628,1943.2806
629,1895.9584
630,1569.9058
631,1381.002
632,2207.2375
633,2138.7
634,1887.2284
635,2188.7434
636,1606.6896
637,1687.8809
638,2053.8318
639,2467.8643
640,2139.0955
641,2129.8625
642,1879.2462
643,1575.9677
644,2103.7898
645,1284.0865
646,2374.3977
647,1622.3053
648,1883.713
649,1020.6147
650,1735.7926
651,1865.5531
652,2285.2969
653,1745.2329
654,1868.0382
655,2297.1848
656,966.00616
657,1614.0518
658,1641.0502
659,2139.5977
660,2039.3176
661,1459.5734
662,1422.4655
663,1245.3477
664,1377.8544
665,2204.985
666,1651.2809
667,1675.0568
668,2358.551
669,1908.8234
670,2133.5483
671,1359.7286
672,1035.9651
673,1210.8042
674,1598.5026
675,2023.1461
676,2150.269
677,1775.4994
678,2156.5686
679,1261.9377
680,1460.68
681,1979.5216
682,1608.5647
683,1971.2971
684,1264.7902
685,1721.2142
686,1579.6678
687,2257.8145
688,1371.4121
689,2116.9585
690,1831.783
691,2390.1345
692,1741.8887
693,2085.4265
694,1981.3755
695,1476.9061
696,1615.3573
697,1330.1754
698,1265.8053
699,1266.6592
700,1901.8827
701,1590.8177
702,2166.1216
703,1986.6305
704,1809.505
705,1245.0968
706,2525.6384
707,1863.4156
708,1683.7906
709,1238.5907
710,1976.8073
711,1381.182
712,2339.282
713,1260.7546
714,2432.7612
715,2517.511
716,1670.5438
717,2218.243
718,2255.4695
719,2248.6243
720,2536.9253
721,1918.3539
722,1894.9524
723,1474.7518
724,2002.2465
725,1527.4523
726,1359.0194
727,1979.224
728,1767.2438
729,1527.9211
730,1719.6317
731,2262.008
732,2193.7046
733,2087.3992
734,2009.9827
735,1048.647
736,1055.0885
737,2360.718
738,2117.4775
739,2093.0366
740,1782.9152
741,1235.0461
742,1840.7135
743,1857.8605
744,1569.3544
745,2065.4724
746,1655.6365
747,2160.4897
748,1284.1295
749,1669.4825
750,1521.5385
751,1962.3619
752,1034.8624
753,1238.9694
754,1027.4026
755,1401.4242
756,2213.1145
757,1975.173
758,2164.2317
759,2427.01
760,1518.3989
761,790.43915
762,1949.5157
763,2147.8523
764,1782.9489
765,1934.9407
766,1120.1218
767,2034.2047
768,2378.7332
769,1863.3134
770,1351.0714
771,2154.9495
772,1959.033
773,2109.2468
774,899.8974
775,2127.5686
776,1609.9817
777,1533.8197
778,1557.4989
779,2040.0231
780,1677.2739
781,2047.2592
782,1471.4591
783,1938.2383
784,1408.264
785,1876.4396
786,1797.4259
787,1092.4857
788,2070.4636
789,1886.0807
790,2464.05
791,1055.3324
792,1059.2992
793,1993.4672
794,1675.014
795,2534.3962
796,1725.3857
797,1212.9581
798,1910.3049
799,1389.5072
800,2085.8628
801,2071.6926
802,1610.6329
803,1869.1554
804,1606.786
805,2470.819
806,1712.9384
807,1274.5967
808,2161.5994
809,2156.2595
810,1564.2552
811,2224.8274
812,1788.1478
813,2135.7542
814,2071.848
815,1782.5311
816,2119.2927
817,1782.0553
818,2229.2964
819,1356.8634
820,1960.1656
821,1333.6969
822,1504.4796
823,2164.7517
824,2101.3918
825,1474.9786
826,1336.3114
827,2184.091
828,1855.2169
829,1348.7761
830,1972.3219
831,1504.8561
832,2024.1926
833,1434.3165
834,1635.3207
835,1843.9149
836,1632.1093
837,1276.2994
838,1576.0139
839,1460.4846
840,1906.0521
841,1448.5873
842,2257.4414
843,1760.4938
844,2269.6218
845,1920.4984
846,1544.3456
847,2491.5046
848,1387.6248
849,1711.0515
850,2043.3297
851,1385.1716
852,1937.7848
853,1495.8784
854,1068.1781
855,2612.5144
856,1268.0859
857,1815.4738
858,1774.7532
859,2447.6912
860,2279.3728
861,1703.5216
862,1700.5626
863,1662.777
864,1512.1132
865,2314.1685
866,1770.2782
867,2085.176
868,2136.084
869,1624.6417
870,1435.0853
871,1916.4247
872,1216.7816
873,1568.205
874,1560.1354
875,2256.848
876,2071.661
877,1607.0138
878,1923.1129
879,1432.8717
880,2216.7444
881,1506.5426
882,2007.9613
883,1934.8649
884,2056.2166
885,1885.3206
886,1949.6202
887,1582.6642
888,1509.6398
889,1138.9344
890,1666.5084
891,1613.3868
892,2379.0945
893,1928.7324
894,1133.9568
895,1451.6438
896,1921.092
897,1538.1395
898,1560.32
899,1264.6727
900,2440.0134
901,1975.8546
902,2278.506
903,1859.3602
904,2198.4343
905,1945.5757
906,1806.6467
907,1340.5284
908,1708.9092
909,1057.0013
910,2159.5857
911,1605.6564
912,2127.8162
913,898.4792
914,1418.2054
915,1809.5746
916,1999.5055
917,1434.7821
918,925.3201
919,2193.097
920,1949.7837
921,935.3023
922,1785.0089
923,2610.4602
924,1961.1122
925,1922.6848
926,2094.387
927,2499.176
928,2091.0537
929,1680.7733
930,2403.6628
931,1245.8475
932,2019.0251
933,1938.0385
934,1657.7592
935,2174.5103
936,1414.9486
937,1207.2937
938,2227.8982
939,1444.5543
940,1446.3915
941,2042.4995
942,2306.3918
943,2045.4398
944,2518.2097
945,1317.5414
946,1863.7399
947,1320.3981
948,1525.7323
949,1400.4147
950,1980.4971
951,1554.8236
952,1777.5607
953,1407.9181
954,758.23334
955,1286.6152
956,2510.619
957,2566.8215
958,1904.8517
959,1221.448
960,1052.8566
961,1179.383
962,1300.8815
963,1949.7885
964,1807.6727
965,2453.5889
966,2138.3838
967,1394.555
968,1079.2369
969,1894.7367
970,1915.3417
971,1634.8605
972,1664.2916
973,1912.8293
974,2469.9666
975,1736.0541
976,1015.1269
977,1352.2892
978,2262.0642
979,1347.1544
980,2092.4915
981,2535.1287
982,2165.9343
983,2823.14
984,1682.6139
985,1809.4788
986,2124.355
987,1971.0079
988,2221.7754
989,1376.9493
990,2188.6887
991,2470.6477
992,1974.1943
993,1644.027
994,2209.4844
995,1448.2246
996,1732.6996
997,2271.942
998,2129.373
999,2114.616
1000,2122.2844
1001,1878.8287
1002,1551.9557
1003,1463.8751
1004,2230.1482
1005,1846.776
1006,1443.18
1007,981.82745
1008,1434.2384
1009,2057.8586
1010,2150.9062
1011,1581.4335
1012,1519.5361
1013,1817.9152
1014,2203.4993
1015,1913.7628
1016,2121.1685
1017,1645.2288
1018,1371.3397
1019,2084.674
1020,1198.8884
1021,2223.8132
1022,1496.3624
1023,1938.0757
1024,2117.3916
1025,1518.2794
1026,907.68585
1027,1649.6107
1028,1401.9536
1029,2269.64
1030,1264.5499
1031,1979.8004
1032,1314.7711
1033,2212.6428
1034,1356.7942
1035,1506.019
1036,2318.8545
1037,2110.3066
1038,2258.215
1039,1378.1786
1040,1412.9624
1041,1568.5381
1042,1923.5812
1043,2275.3196
1044,2192.4482
1045,2164.945
1046,2521.3499
1047,2409.5964
1048,1906.228
1049,1357.3104
1050,1779.5294
1051,1591.998
1052,2010.4312
1053,1083.5609
1054,1921.996
1055,1072.7421
1056,2109.9355
1057,1891.5382
1058,2201.882
1059,1650.9806
1060,2084.6042
1061,1788.7273
1062,1523.9779
1063,2098.2004
1064,2525.5637
1065,1423.6398
1066,2190.1184
1067,1779.781
1068,1443.6943
1069,967.3719
1070,2178.308
1071,2539.1692
1072,2082.5452
1073,1427.1505
1074,2137.561
1075,1536.0985
1076,2159.382
1077,1818.5137
1078,2117.038
1079,1888.0576
1080,1170.8195
1081,1354.8458
1082,2070.112
1083,2368.2163
1084,1889.7772
1085,1760.1278
1086,1884.3558
1087,1346.7623
1088,1584.2294
1089,1707.6191
1090,2433.3682
1091,1195.8217
1092,1920.6239
1093,2176.1223
1094,1607.2472
1095,1054.3357
1096,2157.5105
1097,1598.5681
1098,1372.1323
1099,1813.6351
1100,2295.518
1101,2248.2695
1102,1551.033
1103,2250.2024
1104,2187.4758
1105,1926.664
1106,1916.9313
1107,2416.8225
1108,2207.988
1109,1619.3762
1110,1381.1566
1111,1615.4863
1112,2112.1504
1113,2171.5808
1114,1790.7839
1115,1068.8549
1116,2159.8484
1117,1382.5568
1118,2116.5125
1119,2208.322
1120,2042.9725
1121,2118.9053
1122,1551.1274
1123,1580.9333
1124,2152.655
1125,1953.0516
1126,1715.7413
1127,2445.945
1128,1467.0391
1129,1698.9467
1130,2122.51
1131,1989.8558
1132,1421.7941
1133,2244.0027
1134,1236.8531
1135,2242.9873
1136,1555.9133
1137,2068.646
1138,1876.1493
1139,2391.2983
1140,1620.4895
1141,2174.327
1142,1038.1777
1143,1282.8872
1144,1676.9086
1145,1942.4738
1146,2090.8286
1147,1225.4315
1148,1492.5839
1149,2492.472
1150,2464.2764
1151,1783.4271
1152,1651.3097
1153,2173.523
1154,1621.4874
1155,2217.321
1156,1807.7518
1157,2236.447
1158,1209.0228
1159,1036.4373
1160,2319.5537
1161,1921.1932
1162,772.24316
1163,1704.6138
1164,1507.6434
1165,1398.5488
1166,2030.6074
1167,1898.4271
1168,2316.1584
1169,2303.2708
1170,1997.1093
1171,1382.5809
1172,1517.037
1173,26.659264
1174,1683.5037
1175,2110.5793
1176,2219.5652
1177,1642.1102
1178,1873.432
1179,1085.8978
1180,2000.6705
1181,2262.8635
1182,2134.5557
1183,1846.9976
1184,1718.0731
1185,2000.8273
1186,1560.236
1187,2533.464
1188,1979.2168
1189,2504.7585
1190,1798.4142
1191,1617.1506
1192,1754.5442
1193,1861.3579
1194,2084.0078
1195,1775.2262
1196,1873.0555
1197,1082.757
1198,2192.5369
1199,2098.3503
1200,1794.5524
1201,1528.6168
1202,2137.6997
1203,1596.727
1204,1419.2142
1205,1877.4224
1206,2332.9275
1207,2409.9421
1208,1970.7772
1209,1521.5995
1210,1874.446
1211,2108.053
1212,1543.9425
1213,2225.4355
1214,1721.2816
1215,1845.3712
1216,1244.5033
1217,1771.591
1218,1878.7241
1219,1814.6908
1220,1988.3851
1221,1263.2953
1222,1190.6713
1223,1671.6173
1224,2133.0908
1225,2253.4182
1226,1905.2927
1227,1416.2811
1228,1745.1561
1229,2155.426
1230,1692.8495
1231,2159.5789
1232,1051.6779
1233,2647.9602
1234,1580.7703
1235,1077.9983
1236,2013.4574
1237,1406.0482
1238,2453.1707
1239,1516.413
1240,1905.8639
1241,2116.6394
1242,2040.6483
1243,1781.5511
1244,2067.236
1245,2205.9226
1246,1874.144
1247,1531.8604
1248,1211.1727
1249,2251.2258
1250,2186.1658
1251,2176.3533
1252,2132.93
1253,1985.2163
1254,1469.1912
1255,1463.488
1256,1390.7062
1257,1536.9216
1258,2043.6168
1259,1594.9633
1260,1646.8567
1261,1583.6499
1262,1975.1539
1263,2378.343
1264,1403.2369
1265,26.659264
1266,1682.5201
1267,1855.9197
1268,2085.2349
1269,1870.6088
1270,2200.8796
1271,1517.9498
1272,1931.2537
1273,1647.0704
1274,1432.4769
1275,1389.4388
1276,1656.3804
1277,1498.5133
1278,2287.9917
1279,1612.2709
1280,1734.0802
1281,1250.7504
1282,2223.9885
1283,1552.3073
1284,1554.2723
1285,1979.2507
1286,1954.0892
1287,1994.2697
1288,1913.4779
1289,1240.9796
1290,2259.1116
1291,1961.3226
1292,1919.7428
1293,2030.0927
1294,1950.5771
1295,1877.3661
1296,1717.3745
1297,2237.9124
1298,1669.7218
1299,2423.0469
1300,1427.3368
1301,1056.1725
1302,1862.0428
1303,2061.1614
1304,1994.3231
1305,1969.8677
1306,1635.7588
1307,1059.1335
1308,1384.0836
1309,1778.7037
1310,1518.327
1311,2356.0383
1312,1289.485
1313,2087.4656
1314,2069.3552
1315,1849.2975
1316,1260.5205
1317,2136.8323
1318,1912.022
1319,1593.7625
1320,1298.8253
1321,1288.436
1322,2108.4294
1323,1564.2096
1324,2217.5452
1325,1163.5646
1326,2349.9724
1327,1592.0084
1328,2183.0166
1329,1809.0597
1330,1195.8827
1331,1758.4056
1332,1358.8741
1333,1050.0419
1334,1552.733
1335,2522.7122
1336,2223.7664
1337,1666.6771
1338,1686.0804
1339,1686.8813
1340,1933.6031
1341,1554.955
1342,2345.222
1343,2545.2566
1344,1669.7651
1345,1075.0167
1346,1566.1461
1347,2193.1755
1348,2137.4937
1349,1943.2716
1350,2266.1033
1351,1486.554
1352,2195.564
1353,1488.911
1354,1742.348
1355,2034.2819
1356,1769.9579
1357,1224.8119
1358,2106.5955
1359,2136.0054
1360,2097.7576
1361,1631.9005
1362,1184.8497
1363,1405.7628
1364,592.74054
1365,1207.4479
1366,1899.955
1367,1416.8785
1368,1702.3527
1369,1864.5183
1370,1914.5763
1371,1744.5079
1372,1671.1952
1373,1088.478
1374,2207.3748
1375,2030.0609
1376,1627.535
1377,670.4742
1378,1597.9491
1379,1707.5336
1380,1914.8141
1381,1899.2167
1382,1525.4735
1383,1801.6737
1384,1060.2657
1385,2176.88
1386,2124.4792
1387,1430.7062
1388,2186.4338
1389,1726.8315
1390,1512.7184
1391,2143.303
1392,2133.3242
1393,2154.3135
1394,1643.1241
1395,2555.9011
1396,1356.9641
1397,718.9357
1398,1354.0948
1399,2050.9783
1400,1436.556
1401,1996.0297
1402,1327.4994
1403,1486.0294
1404,2097.055
1405,1420.3805
1406,1809.4857
1407,2434.3386
1408,1397.299
1409,2384.9785
1410,2449.4817
1411,1239.1029
1412,1818.8662
1413,1770.734
1414,1456.5702
1415,1265.4087
1416,1907.1344
1417,2208.9084
1418,2227.5764
1419,1464.6903
1420,1755.2357
1421,2239.4534
1422,2032.2045
1423,2200.3445
1424,1581.5983
1425,1811.8446
1426,1265.0319
1427,1995.5339
1428,2219.2043
1429,2590.0078
1430,1514.6261
1431,1413.2659
1432,1941.3297
1433,1322.4427
1434,1562.5177
1435,1516.0846
1436,1931.7178
1437,2083.5493
1438,1407.7472
1439,2176.1082
1440,1655.3986
1441,2015.7284
1442,1687.939
1443,1336.2758
1444,1148.091
1445,2219.0425
1446,2123.0227
1447,1549.1064
1448,1849.3641
1449,1363.4615
1450,1127.274
1451,1838.1714
1452,2488.897
1453,1455.722
1454,1242.4254
1455,1080.44
1456,2031.4844
1457,1289.4667
1458,1415.2614
1459,2234.5708
1460,1763.744
1461,1382.5966
1462,2112.3418
1463,1793.5494
1464,1673.7062
1465,1801.1987
1466,2385.4197
1467,2056.8208
1468,1619.2018
1469,1891.223
1470,1618.9423
1471,1720.0618
1472,2141.6653
1473,1592.7628
1474,1683.007
1475,1481.1844
1476,1515.1322
1477,2670.6821
1478,1955.9899
1479,1973.9104
1480,1783.3973
1481,1750.6842
1482,1291.6266
1483,2135.759
1484,1500.6436
1485,1253.195
1486,1259.4679
1487,2159.921
1488,1263.8445
1489,1550.343
1490,2061.735
1491,2170.012
1492,1824.2023
1493,1829.2606
1494,1760.6296
1495,2326.6213
1496,1417.2545
1497,2543.2952
1498,1786.271
1499,2163.5742
1500,1424.737
1501,1436.2119
1502,2357.761
1503,2056.2527
1504,1753.1569
1505,1656.3374
1506,1772.2096
1507,2339.0347
1508,2115.73
1509,2166.2688
1510,2150.0242
1511,1670.1532
1512,2253.9197
1513,2143.9663
1514,1729.9733
1515,1430.1003
1516,2157.3904
1517,1764.8302
1518,1248.4907
1519,1749.9222
1520,2208.8054
1521,2137.3442
1522,1774.411
1523,1712.566
1524,2252.0393
1525,2168.5378
1526,2124.9958
1527,2341.598
1528,2218.8752
1529,1285.5538
1530,1860.9974
1531,2082.3552
1532,1584.3156
1533,2091.9907
1534,1240.7428
1535,2097.639
1536,2077.1367
1537,2115.218
1538,1788.055
1539,1723.9646
1540,1939.3566
1541,1764.5013
1542,2112.708
1543,2056.6025
1544,2152.3433
1545,2124.6936
1546,1238.9403
1547,2454.1438
1548,2173.0173
1549,1499.2214
1550,1455.1254
1551,1476.8802
1552,2209.6213
1553,2185.8071
1554,1914.1029
1555,1473.5542
1556,1245.3934
1557,378.29202
1558,1265.1835
1559,2242.3582
1560,2096.3162
1561,1795.8136
1562,1032.5618
1563,2006.6871
1564,1246.0392
1565,2284.2603
1566,1468.8302
1567,1242.2206
1568,2259.2678
1569,1402.5116
1570,2175.0137
1571,1313.0365
1572,1827.5077
1573,1411.6333
1574,1999.5282
1575,1073.1405
1576,2024.8507
1577,2032.0542
1578,2285.594
1579,1941.9205
1580,1772.3783
1581,1804.7594
1582,2510.1594
1583,1741.5161
1584,1840.4501
1585,1659.1211
1586,2068.1797
1587,2107.2976
1588,2244.2976
1589,1948.2484
1590,1987.9229
1591,1853.5424
1592,2119.3125
1593,1558.3292
1594,2429.4934
1595,1845.121
1596,1060.3986
1597,1556.9756
1598,1756.7925
1599,1886.8878
1600,721.8608
1601,1505.3761
1602,2144.9067
1603,1501.5558
1604,1953.2493
1605,1453.3165
1606,2125.8381
1607,1393.3114
1608,1899.3455
1609,2086.3247
1610,1590.3628
1611,1409.4794
1612,2282.6926
1613,1611.8424
1614,1562.3365
1615,1548.6283
1616,1138.8121
1617,1258.5878
1618,1519.2552
1619,2087.0227
1620,1219.5139
1621,1645.8273
1622,1225.0096
1623,1167.6976
1624,2525.2917
1625,1035.5112
1626,2126.2239
1627,1531.869
1628,2232.0964
1629,2247.2993
1630,1809.8231
1631,1756.8135
1632,1456.0411
1633,1609.4899
1634,1688.8575
1635,1776.7424
1636,1863.2052
1637,2218.1
1638,1755.4662
1639,1547.4916
1640,1819.9059
1641,1455.5963
1642,2171.9749
1643,1283.3251
1644,2356.1553
1645,1715.8228
1646,1426.3588
1647,26.659264
1648,1865.9576
1649,1291.0255
1650,1602.3977
1651,1057.2032
1652,1692.3715
1653,1239.5145
1654,1625.5131
1655,1852.8867
1656,2125.5479
1657,1248.6049
1658,2183.1616
1659,1833.6237
1660,1326.0692
1661,1703.4679
1662,2056.3708
1663,2126.2385
1664,1117.6929
1665,1836.0292
1666,1501.2461
1667,1603.0643
1668,1301.5814
1669,2149.2102
1670,1719.485
1671,1295.6864
1672,2289.5017
1673,2155.9036
1674,2017.6848
1675,1264.0104
1676,1335.5646
1677,2276.7278
1678,1602.3547
1679,2177.4797
1680,1873.4504
1681,1853.9562
1682,1340.9441
1683,1219.031
1684,1075.546
1685,2439.3992
1686,2294.0542
1687,2127.2678
1688,2407.9563
1689,2029.5104
1690,1383.0619
1691,2272.0955
1692,1237.8517
1693,2327.0535
1694,1536.1517
1695,2214.1418
